day,size,total_bill,tip,percent
Thur,1,10.07,1.83,18.17279046673287
Thur,2,727.5299999999999,117.24,16.114799389715888
Thur,3,76.64,10.77,14.052713987473902
Thur,4,149.75,21.09,14.08347245409015
Thur,5,41.19,5.0,12.138868657441128
Thur,6,91.14999999999999,15.9,17.44377399890291
Fri,1,8.58,1.92,22.377622377622377
Fri,2,261.15,42.309999999999995,16.2014168102623
Fri,3,15.98,3.0,18.773466833541928
Fri,4,40.17,4.73,11.77495643515061
Fri,5,,,
Fri,6,,,
Sat,1,10.32,2.0,19.37984496124031
Sat,2,892.37,133.43,14.952317984692447
Sat,3,459.16999999999996,68.36,14.887732212470329
Sat,4,388.38999999999993,53.61,13.803136023069598
Sat,5,28.15,3.0,10.657193605683837
Sat,6,,,
Sun,1,,,
Sun,2,684.84,109.86000000000001,16.04170317154372
Sun,3,332.76,46.809999999999995,14.067195576391391
Sun,4,480.39,73.58,15.316721830179647
Sun,5,81.0,12.14,14.987654320987657
Sun,6,48.17,5.0,10.379904504878555
