,total_bill,tip,sex,smoker,size,Fri,Sat,Sun,Dinner
0,16.99,1.01,1,0,2,0,0,1,1
1,10.34,1.66,0,0,3,0,0,1,1
2,21.01,3.5,0,0,3,0,0,1,1
3,23.68,3.31,0,0,2,0,0,1,1
4,24.59,3.61,1,0,4,0,0,1,1
5,25.29,4.71,0,0,4,0,0,1,1
6,8.77,2.0,0,0,2,0,0,1,1
7,26.88,3.12,0,0,4,0,0,1,1
8,15.04,1.96,0,0,2,0,0,1,1
9,14.78,3.23,0,0,2,0,0,1,1
10,10.27,1.71,0,0,2,0,0,1,1
11,35.26,5.0,1,0,4,0,0,1,1
12,15.42,1.57,0,0,2,0,0,1,1
13,18.43,3.0,0,0,4,0,0,1,1
14,14.83,3.02,1,0,2,0,0,1,1
15,21.58,3.92,0,0,2,0,0,1,1
16,10.33,1.67,1,0,3,0,0,1,1
17,16.29,3.71,0,0,3,0,0,1,1
18,16.97,3.5,1,0,3,0,0,1,1
19,20.65,3.35,0,0,3,0,1,0,1
20,17.92,4.08,0,0,2,0,1,0,1
21,20.29,2.75,1,0,2,0,1,0,1
22,15.77,2.23,1,0,2,0,1,0,1
23,39.42,7.58,0,0,4,0,1,0,1
24,19.82,3.18,0,0,2,0,1,0,1
25,17.81,2.34,0,0,4,0,1,0,1
26,13.37,2.0,0,0,2,0,1,0,1
27,12.69,2.0,0,0,2,0,1,0,1
28,21.7,4.3,0,0,2,0,1,0,1
29,19.65,3.0,1,0,2,0,1,0,1
30,9.55,1.45,0,0,2,0,1,0,1
31,18.35,2.5,0,0,4,0,1,0,1
32,15.06,3.0,1,0,2,0,1,0,1
33,20.69,2.45,1,0,4,0,1,0,1
34,17.78,3.27,0,0,2,0,1,0,1
35,24.06,3.6,0,0,3,0,1,0,1
36,16.31,2.0,0,0,3,0,1,0,1
37,16.93,3.07,1,0,3,0,1,0,1
38,18.69,2.31,0,0,3,0,1,0,1
39,31.27,5.0,0,0,3,0,1,0,1
40,16.04,2.24,0,0,3,0,1,0,1
41,17.46,2.54,0,0,2,0,0,1,1
